"Part";"Value";"Device";"Package";"Description";"ALLIED_NUMBER";"ALLIED_PRICE-STOCK";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"POPULARITY";"RS_PART_NUMBER";"RS_PRICE-STOCK";"SPICEPREFIX";"USE";"VALUE";
"LVL_ALO";"SN74LVC8T245";"SN74LVC8T245";"TSSOP24";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SN74LVC8T245PWR";"";
"LVL_D";"SN74LVC8T245";"SN74LVC8T245";"TSSOP24";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SN74LVC8T245PWR";"";
"Q1";"SMMBT3904LT1G";"SMMBT3904LT1G";"SOT96P237X111-3N";"General Purpose Transistor NPN Silicon";"70600137";"http://www.alliedelec.com/on-semiconductor-smmbt3904lt1g/70600137/";"General Purpose Transistor NPN Silicon";"1.11mm";"ON Semiconductor";"SMMBT3904LT1G";"863-SMMBT3904LT1G";"https://www.mouser.com/Search/Refine.aspx?Keyword=863-SMMBT3904LT1G";"";"";"8058870P";"http://uk.rs-online.com/web/p/products/8058870P";"";"SMMBT3904LT1G";"";
"R1";"49R9";"R-EU_R0201";"R0201";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"R";"RC0201FR-0749R9L";"";
"R2";"10K";"R-EU_R0201";"R0201";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"R";"ERJ-1GNJ103C";"";
"R3";"10K";"R-EU_R0201";"R0201";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"R";"ERJ-1GNJ103C";"";
"R4";"10K";"R-EU_R0201";"R0201";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"R";"ERJ-1GNJ103C";"";
"R5";"10K";"R-EU_R0201";"R0201";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"R";"ERJ-1GNJ103C";"";
"R6";"49R9";"R-EU_R0201";"R0201";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"R";"RC0201FR-0749R9L";"";
"R7";"49R9";"R-EU_R0201";"R0201";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"R";"RC0201FR-0749R9L";"";
"R8";"49R9";"R-EU_R0201";"R0201";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"R";"RC0201FR-0749R9L";"";
"R9";"49R9";"R-EU_R0201";"R0201";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"R";"RC0201FR-0749R9L";"";
"R10";"10K";"R-EU_R0201";"R0201";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"R";"ERJ-1GNJ103C";"";
"R11";"49R9";"R-EU_R0201";"R0201";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"R";"RC0201FR-0749R9L";"";
"R12";"49R9";"R-EU_R0201";"R0201";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"R";"RC0201FR-0749R9L";"";
"R13";"10K";"R-EU_R0201";"R0201";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"R";"ERJ-1GNJ103C";"";
"R14";"49R9";"R-EU_R0201";"R0201";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"R";"RC0201FR-0749R9L";"";
"R15";"27K";"R-EU_R0201";"R0201";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"R";"RC0201FR-0727KL";"";
"R16";"1K5";"R-EU_R0201";"R0201";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"R";"RC0201JR-071K5L";"";
"R17";"1K5";"R-EU_R0201";"R0201";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"R";"RC0201JR-071K5L";"";
"R18";"4K7";"R-EU_R0201";"R0201";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"R";"RC0201FR-074K7L";"";
"R19";"10K";"R-EU_R0201";"R0201";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"R";"ERJ-1GNJ103C";"";
"R20";"4K7";"R-EU_R0201";"R0201";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"R";"RC0201FR-074K7L";"";
"R21";"10K";"R-EU_R0201";"R0201";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"R";"ERJ-1GNJ103C";"";
"R22";"10K";"R-EU_R0201";"R0201";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"R";"ERJ-1GNJ103C";"";
"R23";"100K";"R-EU_R0201";"R0201";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"R";"RC0201FR-07100KL";"";
"R24";"1K";"R-EU_R0201";"R0201";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"R";"RC0201FR-071KL";"";
"R25";"10K";"R-EU_R0201";"R0201";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"R";"ERJ-1GNJ103C";"";
"R26";"10K";"R-EU_R0201";"R0201";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"R";"ERJ-1GNJ103C";"";
"R27";"100K";"R-EU_R0201";"R0201";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"R";"RC0201FR-07100KL";"";
"R28";"1K";"R-EU_R0201";"R0201";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"R";"RC0201FR-071KL";"";
"R29";"10K";"R-EU_R0201";"R0201";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"R";"ERJ-1GNJ103C";"";
"R30";"1K";"R-EU_R0201";"R0201";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"R";"RC0201FR-071KL";"";
"R31";"10K";"R-EU_R0201";"R0201";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"R";"ERJ-1GNJ103C";"";
"R32";"10K";"R-EU_R0201";"R0201";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"R";"ERJ-1GNJ103C";"";
"R33";"820R";"R-EU_R0201";"R0201";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"R";"RC0201JR-07820RL";"";
"U$1";"BTH-060-01-F-D-A";"BTH-060-01-F-D-A";"BTH-060-01-F-D-A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"BTH-060-01-F-D-A";"";
"U$3";"MINI-SAS";"MINI-SAS";"MINI-SAS";"Mini-SAS connector, right angle through hole";"";"";"";"";"";"";"";"";"";"";"";"";"";"1888019-4";"";
"U$4";"74LVC1T45GWSOT866";"74LVC1T45GWSOT866";"SOT886";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"74LVCH1T45GS,132";"";
"U$5";"74LVC1T45GWSOT866";"74LVC1T45GWSOT866";"SOT886";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"74LVCH1T45GS,132";"";
"U$6";"74LVC1T45GWSOT866";"74LVC1T45GWSOT866";"SOT886";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"74LVCH1T45GS,132";"";
"U$8";"74LVC1T45GWSOT866";"74LVC1T45GWSOT866";"SOT886";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"74LVCH1T45GS,132";"";
"U$9";"74LVC1T45GWSOT866";"74LVC1T45GWSOT866";"SOT886";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"74LVCH1T45GS,132";"";
"U$14";"74LVC1T45GWSOT866";"74LVC1T45GWSOT866";"SOT886";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"74LVCH1T45GS,132";"";
"U$15";"74LVC1T45GWSOT866";"74LVC1T45GWSOT866";"SOT886";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"74LVCH1T45GS,132";"";
"U$16";"74LVC1T45GWSOT866";"74LVC1T45GWSOT866";"SOT886";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"74LVCH1T45GS,132";"";
"U$17";"74LVC1T45GWSOT866";"74LVC1T45GWSOT866";"SOT886";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"74LVCH1T45GS,132";"";
